-1.707,-2.929,2.716
-1.704,-2.982,2.764
-1.715,-3.073,2.852
-1.712,-3.131,2.904
-1.437,-2.504,2.22
-1.419,-2.511,2.22
-1.401,-2.517,2.22
-1.382,-2.52,2.216
-1.366,-2.534,2.224
-1.35,-2.548,2.232
-1.28,-2.584,2.244
-1.261,-2.59,2.244
-1.241,-2.591,2.24
-1.222,-2.597,2.24
-1.207,-2.613,2.252
-1.19,-2.626,2.26
-1.172,-2.635,2.264
-1.154,-2.647,2.272
-1.135,-2.652,2.272
-1.116,-2.656,2.272
-1.095,-2.653,2.264
-1.041,-4.408,3.992
-1.006,-4.412,3.992
-0.77,-2.533,2.1
-0.752,-2.534,2.1
-0.733,-2.527,2.092
-0.715,-2.524,2.088
-0.696,-2.517,2.08
-0.678,-2.513,2.076
-0.66,-2.51,2.072
-0.642,-2.502,2.064
